date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:52:57	0/0	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2013%20May%202022%2008:52:57%20GMT	https://cdn.discordapp.com/avatars/946515592679161856/a_fb279177b371535deb6df743fb2828f6.png?size=512	C:/Users/Admin/Desktop/stolica/cdn.discordapp.com/avatars/946515592679161856/a_fb279177b371535deb6df743fb2828f65168.png	(from https://stolicarp.pl/team)
10:52:58	240848/240848	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Jan%202022%2014:51:38%20GMT	https://cdn.discordapp.com/avatars/883684679838994454/70d4e5e13757f92e47d74dfb037f07db.png?size=512	C:/Users/Admin/Desktop/stolica/cdn.discordapp.com/avatars/883684679838994454/70d4e5e13757f92e47d74dfb037f07db5168.png	(from https://stolicarp.pl/team)
10:52:58	19415/19415	---M--	200	added ('OK')	image/png	etag:%224bd7-5dc7f574a55c0%22	https://stolicarp.pl/assets/img/avatars/ciapata.png	C:/Users/Admin/Desktop/stolica/stolicarp.pl/assets/img/avatars/ciapata.png	(from https://stolicarp.pl/team)
10:52:58	35078/35078	---M--	200	added ('OK')	image/png	etag:%228906-5dc7f5a548880%22	https://stolicarp.pl/assets/img/avatars/piotrus.png	C:/Users/Admin/Desktop/stolica/stolicarp.pl/assets/img/avatars/piotrus.png	(from https://stolicarp.pl/team)
10:52:58	22379/22379	---M--	200	added ('OK')	image/png	etag:%22576b-5dc7f53c61100%22	https://stolicarp.pl/assets/img/avatars/axianka.png	C:/Users/Admin/Desktop/stolica/stolicarp.pl/assets/img/avatars/axianka.png	(from https://stolicarp.pl/team)
10:52:59	30677/30677	---M--	200	added ('OK')	image/png	etag:%2277d5-5dc7f51917dc0%22	https://stolicarp.pl/assets/img/avatars/neuro.png	C:/Users/Admin/Desktop/stolica/stolicarp.pl/assets/img/avatars/neuro.png	(from https://stolicarp.pl/team)
10:52:59	23472/23472	---M--	200	added ('OK')	image/png	etag:%225bb0-5dc7f502347c0%22	https://stolicarp.pl/assets/img/avatars/chojny.png	C:/Users/Admin/Desktop/stolica/stolicarp.pl/assets/img/avatars/chojny.png	(from https://stolicarp.pl/team)
10:52:59	18609/18609	---M--	200	added ('OK')	image/png	etag:%2248b1-5dc7f4e4a4200%22	https://stolicarp.pl/assets/img/avatars/cosnek.png	C:/Users/Admin/Desktop/stolica/stolicarp.pl/assets/img/avatars/cosnek.png	(from https://stolicarp.pl/team)
10:52:59	16829/16829	---M--	200	added ('OK')	image/png	etag:%2241bd-5dc7f4aa778c0%22	https://stolicarp.pl/assets/img/avatars/sergiuszek.png	C:/Users/Admin/Desktop/stolica/stolicarp.pl/assets/img/avatars/sergiuszek.png	(from https://stolicarp.pl/team)
10:53:00	0/0	---MC-	302	error ('Found')	text/html	date:Fri,%2013%20May%202022%2008:52:59%20GMT	https://stolicarp.pl/login	C:/Users/Admin/Desktop/stolica/stolicarp.pl/login	(from https://stolicarp.pl/rules)
10:53:00	0/0	---MC-	302	error ('Found')	text/html	date:Fri,%2013%20May%202022%2008:53:00%20GMT	https://stolicarp.pl/login	C:/Users/Admin/Desktop/stolica/stolicarp.pl/login	(from https://stolicarp.pl/devlog/45)
10:53:01	565251/565251	---M--	200	added ('OK')	image/jpeg	etag:%228a003-5db0899f8e440%22	https://stolicarp.pl/assets/img/curved-images/curved5.jpg	C:/Users/Admin/Desktop/stolica/stolicarp.pl/assets/img/curved-images/curved5.jpg	(from https://stolicarp.pl/devlog/45)
10:53:01	856/856	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22358-5db0899f8e440%22	https://stolicarp.pl/assets/img/wave-1.svg	C:/Users/Admin/Desktop/stolica/stolicarp.pl/assets/img/wave-1.svg	(from https://stolicarp.pl/devlog/45)
